Sequence Identifier	Value
AF005331.1_Timema_bartmani	B
AF410130.1_Timema_bartmani_isolate_bart1no1	B
AF410131.1_Timema_bartmani_isolate_bart1no2	B
AF410132.1_Timema_bartmani_isolate_bart1no3	B
AF410133.1_Timema_bartmani_isolate_bart2no1	B
AF005334.1_Timema_boharti	B
AF410136.1_Timema_boharti_isolate_bohar1no1	B
AF410137.1_Timema_boharti_isolate_bohar1no2	B
AF005343.1_Timema_californicum	B
AF005344.1_Timema_californicum	B
AF005345.1_Timema_californicum	B
AF410045.1_Timema_californicum_isolate_cali2no1	B
AF410046.1_Timema_californicum_isolate_cali2no2	B
AF410047.1_Timema_californicum_isolate_cali2no3	B
AF410048.1_Timema_californicum_isolate_cali3no1	B
AF410049.1_Timema_californicum_isolate_cali4no1	B
AF410050.1_Timema_californicum_isolate_cali5no1	B
AF410051.1_Timema_californicum_isolate_cali6no1	B
AF410052.1_Timema_californicum_isolate_cali6no2	B
AF410053.1_Timema_californicum_isolate_cali6no3	B
AF410054.1_Timema_californicum_isolate_cali7no1	B
AF410055.1_Timema_californicum_isolate_cali7no2	B
AF410056.1_Timema_californicum_isolate_cali7no3	B
AF410057.1_Timema_californicum_isolate_cali7no4	B
AF410058.1_Timema_californicum_isolate_cali9no1	B
AF410059.1_Timema_californicum_isolate_cali8no1	B
AF410060.1_Timema_californicum_isolate_cali8no2	B
AF410061.1_Timema_californicum_isolate_cali8no3	B
AF005332.1_Timema_chumash	B
AF410138.1_Timema_chumash_isolate_chum1no1	B
AF410139.1_Timema_chumash_isolate_chum2no1	B
AF410140.1_Timema_chumash_isolate_chum2no2	B
AF410141.1_Timema_chumash_isolate_chum3no1	B
AF005340.1_Timema_cristinae	B
AF410082.1_Timema_cristinae_isolate_cris1no1	B
AF410083.1_Timema_cristinae_isolate_cris1no2	B
AF410084.1_Timema_cristinae_isolate_cris1no3	B
AF410085.1_Timema_cristinae_isolate_cris3no1	B
AF410086.1_Timema_cristinae_isolate_cris3no2	B
AF410087.1_Timema_cristinae_isolate_cris2no1	B
AF410088.1_Timema_cristinae_isolate_cris2no2	B
AF410089.1_Timema_cristinae_isolate_cris4no1	B
AF410090.1_Timema_cristinae_isolate_cris4no2	B
AF410091.1_Timema_cristinae_isolate_poppy1	B
AF410092.1_Timema_cristinae_isolate_para1	B
AF410093.1_Timema_cristinae_isolate_poppy2	B
AF410094.1_Timema_cristinae_isolate_laurel1	B
AF410095.1_Timema_cristinae_isolate_house1	B
AF410096.1_Timema_cristinae_isolate_laurel2	B
AF410097.1_Timema_cristinae_isolate_para2	B
AF410098.1_Timema_cristinae_isolate_house2	B
AF410099.1_Timema_cristinae_isolate_laurel3	B
AF439805.1_Timema_cristinae_isolate_OJALA1	B
AF439814.1_Timema_cristinae_isolate_1883PARA3	B
AF439815.1_Timema_cristinae_isolate_1979HOUSE3	B
AF439816.1_Timema_cristinae_isolate_910VPC2	B
AF439817.1_Timema_cristinae_isolate_1944HV1	B
AF439818.1_Timema_cristinae_isolate_2352POPPY	B
AF439819.1_Timema_cristinae_isolate_2340VPC	B
AF439820.1_Timema_cristinae_isolate_1985HOUSE	B
EU251503.1_Timema_cristinae_isolate_3784R23	B
EU251504.1_Timema_cristinae_isolate_3785R23	B
EU251505.1_Timema_cristinae_isolate_3787R23	B
EU251506.1_Timema_cristinae_isolate_3788R23	B
EU251507.1_Timema_cristinae_isolate_3789R23	B
EU251508.1_Timema_cristinae_isolate_3790R23	B
EU251509.1_Timema_cristinae_isolate_3791R23	B
EU251510.1_Timema_cristinae_isolate_3792R23	B
EU251511.1_Timema_cristinae_isolate_3793R23	B
AF005339.1_Timema_douglasi	P
AF410038.1_Timema_douglasi_isolate_doug1no1	P
AF410039.1_Timema_douglasi_isolate_doug1no2	P
AF410040.1_Timema_douglasi_isolate_doug1no3	P
AF410041.1_Timema_douglasi_isolate_doug1no4	P
AF410042.1_Timema_douglasi_isolate_doug2no1	P
AF410043.1_Timema_douglasi_isolate_doug2no2	P
AF410044.1_Timema_douglasi_isolate_doug2no3	P
AF005333.1_Timema_genevieve	P
AF410119.1_Timema_genevieve_isolate_gen1no1	P
AF410120.1_Timema_genevieve_isolate_gen1no2	P
AF410121.1_Timema_genevieve_isolate_gen1no3	P
AF410122.1_Timema_genevieve_isolate_gen1no4	P
AF410123.1_Timema_genevieve_isolate_gen2no1	P
AF410124.1_Timema_genevieve_isolate_gen2no2	P
AF410125.1_Timema_genevieve_isolate_gen2no3	P
AF410126.1_Timema_genevieve_isolate_gen3no1	P
AF410127.1_Timema_genevieve_isolate_gen3no2	P
AF410128.1_Timema_genevieve_isolate_gen4no1	P
AF410129.1_Timema_genevieve_isolate_gen4no2	P
AF410142.1_Timema_knulli_isolate_knul1no1	B
AF410143.1_Timema_knulli_isolate_knul1no2	B
AF410144.1_Timema_knulli_isolate_knul1no3	B
AF410145.1_Timema_knulli_isolate_knul1no4	B
AF410146.1_Timema_knulli_isolate_knul2no1	B
AF410147.1_Timema_knulli_isolate_knul2no2	B
AF410148.1_Timema_landelsensis_isolate_lan1no1	B
AF410149.1_Timema_landelsensis_isolate_lan1no2	B
AF410150.1_Timema_landelsensis_isolate_lan1no3	B
AF410100.1_Timema_monikensis_isolate_mon1no1	P
AF410101.1_Timema_monikensis_isolate_mon1no2	P
AF410102.1_Timema_monikensis_isolate_mon1no3	P
AF410103.1_Timema_monikensis_isolate_mon1no4	P
AF410104.1_Timema_monikensis_isolate_mon1no5	P
AF410151.1_Timema_petita_isolate_petita	B
AF005341.1_Timema_podura	B
AF005342.1_Timema_podura	B
AF410105.1_Timema_podura_isolate_pod1no1	B
AF410106.1_Timema_podura_isolate_pod1no2	B
AF410107.1_Timema_podura_isolate_pod1no3	B
AF410108.1_Timema_podura_isolate_pod2no1	B
AF410109.1_Timema_podura_isolate_pod2no2	B
AF410110.1_Timema_podura_isolate_pod2no3	B
AF410111.1_Timema_podura_isolate_pod3no1	B
AF410112.1_Timema_podura_isolate_pod5no1	B
AF410113.1_Timema_podura_isolate_pod5no2	B
AF410114.1_Timema_podura_isolate_pod6no1	B
AF410115.1_Timema_podura_isolate_pod6no2	B
AF410116.1_Timema_podura_isolate_pod4no1	B
AF410117.1_Timema_podura_isolate_pod4no2	B
AF410118.1_Timema_podura_isolate_pod4no3	B
AF409998.1_Timema_poppensis_isolate_pop1no1	B
AF409999.1_Timema_poppensis_isolate_pop1no2	B
AF410000.1_Timema_poppensis_isolate_pop1no3	B
AF410001.1_Timema_poppensis_isolate_pop8no1	B
AF410002.1_Timema_poppensis_isolate_pop8no2	B
AF410003.1_Timema_poppensis_isolate_pop8no3	B
AF410004.1_Timema_poppensis_isolate_pop8no4	B
AF410005.1_Timema_poppensis_isolate_pop2no1	B
AF410006.1_Timema_poppensis_isolate_pop2no2	B
AF410007.1_Timema_poppensis_isolate_pop2no3	B
AF410008.1_Timema_poppensis_isolate_pop7no1	B
AF410009.1_Timema_poppensis_isolate_pop7no2	B
AF410010.1_Timema_poppensis_isolate_pop7no3	B
AF410011.1_Timema_poppensis_isolate_pop7no4	B
AF410012.1_Timema_poppensis_isolate_pop7no5	B
AF410013.1_Timema_poppensis_isolate_pop5no2	B
AF410014.1_Timema_poppensis_isolate_pop5no3	B
AF410015.1_Timema_poppensis_isolate_pop5no4	B
AF410016.1_Timema_poppensis_isolate_pop4no1	B
AF410017.1_Timema_poppensis_isolate_pop4no2	B
AF410018.1_Timema_poppensis_isolate_pop4no3	B
AF410019.1_Timema_poppensis_isolate_pop4no4	B
AF410020.1_Timema_poppensis_isolate_pop6no1	B
AF410021.1_Timema_poppensis_isolate_pop6no2	B
AF410022.1_Timema_poppensis_isolate_pop9no1	B
AF410023.1_Timema_poppensis_isolate_pop9no2	B
AF410024.1_Timema_poppensis_isolate_pop9no3	B
AF410025.1_Timema_poppensis_isolate_pop10no1	B
AF410026.1_Timema_poppensis_isolate_pop10no2	B
AF410027.1_Timema_poppensis_isolate_pop10no3	B
AF410028.1_Timema_poppensis_isolate_pop11no1	B
AF410029.1_Timema_poppensis_isolate_pop12no1	B
AF410030.1_Timema_poppensis_isolate_pop12no2	B
AF410031.1_Timema_poppensis_isolate_pop12no3	B
AF410032.1_Timema_poppensis_isolate_pop12no4	B
AF410033.1_Timema_poppensis_isolate_pop13no1	B
AF410034.1_Timema_poppensis_isolate_pop15no1	B
AF410035.1_Timema_poppensis_isolate_pop14no1	B
AF410036.1_Timema_poppensis_isolate_pop14no2	B
AF410037.1_Timema_poppensis_isolate_pop14no3	B
AF410062.1_Timema_shepardii_isolate_shep1no1	P
AF410063.1_Timema_shepardii_isolate_shep1no2	P
AF410064.1_Timema_shepardii_isolate_shep1no3	P
AF410065.1_Timema_shepardii_isolate_shep1no4	P
AF410066.1_Timema_shepardii_isolate_shep1no5	P
AF410067.1_Timema_shepardii_isolate_shep2no1	P
AF410068.1_Timema_shepardii_isolate_shep2no2	P
AF410069.1_Timema_shepardii_isolate_shep2no3	P
AF410070.1_Timema_shepardii_isolate_shep2no4	P
AF410071.1_Timema_shepardii_isolate_shep3no1	P
AF410072.1_Timema_shepardii_isolate_shep3no2	P
AF410073.1_Timema_shepardii_isolate_shep3no3	P
AF410074.1_Timema_shepardii_isolate_shep4no1	P
AF410075.1_Timema_shepardii_isolate_shep4no2	P
AF410076.1_Timema_shepardii_isolate_shep4no3	P
AF410077.1_Timema_shepardii_isolate_shep5no1	P
AF410078.1_Timema_shepardii_isolate_shep5no2	P
AF410079.1_Timema_shepardii_isolate_shep6no1	P
AF410080.1_Timema_shepardii_isolate_shep6no2	P
AF410081.1_Timema_shepardii_isolate_shep6no3	P
AF005330.1_Timema_tahoe	P
AF410134.1_Timema_tahoe_isolate_tahoe1no1	P
AF410135.1_Timema_tahoe_isolate_tahoe1no2	P
